Tabu Search for counterexample to Bound 44
Time budget: 1800s | Start n=15 | Restarts=5
============================================================

============================================================
Restart 1/5 | n=15 e=21 density=0.2 | budget=360s
============================================================
Tabu Search start | n=15 e=21 | score=-1.198410
  iter  1450 | t=  302.5s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1500 | t=  313.1s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1550 | t=  324.0s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1600 | t=  334.7s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1650 | t=  345.6s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1700 | t=  356.3s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
Tabu Search done | 359.9s | 1717 iterations | best=-0.12890568

============================================================
Restart 4/5 | n=15 e=52 density=0.5 | budget=360s
============================================================
Tabu Search start | n=15 e=52 | score=-3.889405
  iter     1 | t=    0.0s | NEW BEST=-3.85726314 | n=15 e=52 | neighbors=21
  iter     1 | t=    0.0s | NEW BEST=-3.69736278 | n=15 e=52 | neighbors=34
  iter     1 | t=    0.0s | NEW BEST=-3.65767771 | n=15 e=52 | neighbors=90
  iter     1 | t=    0.1s | NEW BEST=-3.62618558 | n=15 e=52 | neighbors=115
  iter     1 | t=    0.1s | NEW BEST=-3.55569757 | n=15 e=52 | neighbors=127
  iter     1 | t=    0.1s | NEW BEST=-3.54561733 | n=15 e=52 | neighbors=269
  iter     2 | t=    0.2s | NEW BEST=-3.44583902 | n=15 e=52 | neighbors=1
  iter     2 | t=    0.2s | NEW BEST=-3.44405883 | n=15 e=52 | neighbors=19
  iter     2 | t=    0.3s | NEW BEST=-3.35985150 | n=15 e=52 | neighbors=63
  iter     2 | t=    0.3s | NEW BEST=-3.29002140 | n=15 e=52 | neighbors=108
  iter     3 | t=    0.4s | NEW BEST=-3.20888764 | n=15 e=52 | neighbors=3
  iter     3 | t=    0.5s | NEW BEST=-3.10406183 | n=15 e=52 | neighbors=19
